uid,type,E,A,C,N,O
u00,pre,3.75,2.888888888888889,3.0,3.125,4.5
u01,pre,3.125,3.7777777777777777,4.444444444444445,2.75,3.9
u02,pre,2.125,3.0,4.222222222222222,3.5,3.2
u03,pre,2.125,3.2222222222222223,3.888888888888889,3.375,2.7
u04,pre,2.375,3.111111111111111,2.6666666666666665,4.125,2.9
u05,pre,3.125,3.7777777777777777,4.444444444444445,2.75,3.3
u07,pre,3.125,4.222222222222222,3.7777777777777777,2.25,2.3
u08,pre,2.625,3.7777777777777777,4.222222222222222,3.25,3.3
u09,pre,2.375,4.555555555555555,2.6666666666666665,2.125,3.3
u10,pre,2.0,1.3333333333333333,4.777777777777778,3.375,3.6
u12,pre,2.875,3.5555555555555554,3.6666666666666665,2.875,3.4
u13,pre,3.375,3.5555555555555554,2.4444444444444446,3.375,4.3
u14,pre,3.25,3.6666666666666665,3.3333333333333335,2.5,3.3
u15,pre,3.25,3.5555555555555554,3.111111111111111,2.75,3.0
u16,pre,1.75,3.3333333333333335,3.5555555555555554,4.25,3.8
u17,pre,2.625,3.888888888888889,3.3333333333333335,3.125,4.5
u18,pre,2.625,2.2222222222222223,3.2222222222222223,3.75,2.5
u19,pre,1.75,3.111111111111111,3.4444444444444446,3.625,3.2
u20,pre,3.875,4.333333333333333,3.3333333333333335,2.375,3.6
u22,pre,3.625,3.4444444444444446,4.555555555555555,2.875,3.8
u23,pre,3.0,3.6666666666666665,3.0,3.75,3.6
u24,pre,3.5,2.6666666666666665,2.3333333333333335,3.125,3.5
u27,pre,2.5,3.888888888888889,2.6666666666666665,3.125,3.3
u30,pre,4.5,4.111111111111111,4.444444444444445,2.0,3.6
u31,pre,4.25,3.888888888888889,2.888888888888889,3.125,3.7
u32,pre,4.25,4.222222222222222,4.333333333333333,1.75,3.7
u33,pre,2.875,3.3333333333333335,1.8888888888888888,3.625,4.6
u34,pre,3.25,4.333333333333333,3.111111111111111,2.875,3.3
u35,pre,2.625,3.888888888888889,3.5555555555555554,2.625,3.4
u36,pre,3.5,4.111111111111111,3.7777777777777777,1.75,3.5
u39,pre,3.375,3.3333333333333335,3.111111111111111,3.0,3.5
u42,pre,3.125,4.222222222222222,2.4444444444444446,2.5,3.9
u43,pre,2.375,4.111111111111111,4.222222222222222,2.5,3.3
u44,pre,3.375,3.6666666666666665,3.7777777777777777,2.25,3.6
u45,pre,3.75,3.6666666666666665,3.4444444444444446,3.125,3.7
u46,pre,3.125,3.111111111111111,3.5555555555555554,3.5,4.2
u47,pre,4.375,3.2222222222222223,3.4444444444444446,2.0,3.8
u49,pre,2.875,4.222222222222222,3.6666666666666665,2.5,4.3
u50,pre,3.875,3.3333333333333335,3.5555555555555554,2.5,3.5
u51,pre,3.375,3.7777777777777777,3.7777777777777777,2.75,4.0
u52,pre,1.625,3.3333333333333335,2.2222222222222223,4.125,3.5
u53,pre,2.25,4.0,2.888888888888889,4.5,4.4
u56,pre,1.625,4.111111111111111,3.3333333333333335,2.0,4.1
u57,pre,2.125,4.0,3.2222222222222223,2.125,2.7
u58,pre,2.125,4.333333333333333,3.5555555555555554,3.875,3.6
u59,pre,4.0,4.111111111111111,2.5555555555555554,2.875,3.5
u00,post,3.5,3.5555555555555554,2.888888888888889,3.0,4.6
u01,post,3.0,3.7777777777777777,4.222222222222222,2.875,3.7
u02,post,1.875,3.0,3.888888888888889,3.25,3.0
u03,post,2.375,2.888888888888889,3.888888888888889,3.0,2.7
u04,post,2.75,3.0,2.6666666666666665,4.625,3.1
u05,post,3.0,3.7777777777777777,4.222222222222222,2.375,3.4
u07,post,3.25,4.111111111111111,3.111111111111111,2.875,2.7
u09,post,2.625,4.777777777777778,3.111111111111111,2.0,3.6
u10,post,2.25,1.3333333333333333,5.0,3.125,4.0
u14,post,3.25,3.888888888888889,3.6666666666666665,2.25,3.4
u15,post,3.5,3.4444444444444446,3.111111111111111,2.5,2.9
u16,post,1.875,3.3333333333333335,3.2222222222222223,4.0,3.8
u17,post,3.125,3.7777777777777777,3.2222222222222223,4.25,4.5
u18,post,2.875,2.0,3.111111111111111,3.875,2.9
u19,post,2.125,3.6666666666666665,3.7777777777777777,4.0,3.7
u20,post,3.25,4.333333333333333,3.3333333333333335,2.5,3.2
u23,post,3.125,3.5555555555555554,3.5555555555555554,4.25,4.0
u24,post,3.5,3.111111111111111,2.888888888888889,3.125,4.2
u27,post,2.125,3.6666666666666665,2.7777777777777777,3.25,3.3
u30,post,4.375,4.111111111111111,4.555555555555555,2.0,3.6
u31,post,3.125,3.0,3.2222222222222223,3.375,3.4
u32,post,4.125,4.222222222222222,4.555555555555555,1.5,3.8
u33,post,3.375,3.888888888888889,2.3333333333333335,3.75,4.5
u34,post,3.25,4.222222222222222,3.111111111111111,3.0,3.2
u35,post,3.25,3.6666666666666665,3.2222222222222223,2.375,3.6
u36,post,3.625,4.333333333333333,4.111111111111111,2.25,3.6
u42,post,3.75,4.333333333333333,2.7777777777777777,2.125,3.7
u43,post,2.25,4.222222222222222,4.111111111111111,2.25,3.2
u44,post,2.75,3.3333333333333335,3.4444444444444446,3.25,3.3
u45,post,3.5,3.6666666666666665,3.6666666666666665,2.5,3.5
u47,post,3.625,3.3333333333333335,3.6666666666666665,1.875,4.0
u49,post,3.125,4.333333333333333,3.6666666666666665,2.125,4.5
u51,post,3.0,3.7777777777777777,3.6666666666666665,2.25,3.7
u52,post,2.0,2.888888888888889,2.6666666666666665,4.75,3.1
u53,post,2.25,3.7777777777777777,3.0,4.375,4.4
u54,post,3.0,3.3333333333333335,3.111111111111111,2.75,3.1
u56,post,1.5,4.0,3.3333333333333335,2.375,4.0
u58,post,2.625,4.222222222222222,4.222222222222222,3.75,3.7
u59,post,3.875,4.111111111111111,2.888888888888889,3.0,3.2
