,uid,type,Interested,Distressed,Upset,Strong,Guilty,Scared,Hostile ,Enthusiastic,Proud,Irritable,Alert,Inspired,Nervous,Determined ,Attentive,Jittery,Active ,Afraid 
0,u00,pre,5,4,3,4,3.0,5,5,3,3,3,4,4.0,3.0,4,3.0,2.0,2,5
1,u01,pre,4,2,2,2,5.0,1,1,3,3,2,4,3.0,3.0,4,3.0,2.0,4,1
2,u02,pre,4,1,1,2,2.0,2,1,3,2,2,3,2.0,2.0,2,3.0,3.0,2,1
3,u03,pre,4,2,2,4,5.0,5,5,3,1,1,5,3.0,1.0,3,3.0,5.0,4,1
4,u04,pre,4,2,1,3,3.0,1,1,3,3,2,3,1.0,2.0,3,3.0,1.0,4,1
5,u05,pre,4,2,1,4,5.0,5,5,4,2,2,4,3.0,1.0,3,4.0,1.0,4,5
6,u07,pre,3,2,2,4,2.0,2,3,4,5,4,3,2.0,3.0,3,3.0,1.0,3,2
7,u08,pre,3,4,3,3,1.0,4,1,3,3,5,3,3.0,4.0,5,3.0,1.0,4,3
8,u09,pre,4,1,1,3,1.0,2,1,3,3,1,3,2.0,1.0,3,3.0,2.0,4,1
9,u10,pre,4,2,2,4,1.0,1,3,3,3,5,4,4.0,2.0,4,4.0,3.0,3,1
10,u12,pre,5,2,2,5,1.0,1,3,5,5,2,4,3.0,2.0,5,5.0,3.0,5,2
11,u13,pre,2,3,1,1,3.0,1,1,3,1,4,2,1.0,3.0,1,1.0,4.0,1,1
12,u14,pre,5,5,5,3,5.0,5,5,4,3,5,5,5.0,3.0,5,5.0,5.0,5,5
13,u15,pre,3,3,3,4,1.0,3,3,3,3,3,3,3.0,3.0,3,3.0,3.0,5,3
14,u16,pre,3,3,3,2,2.0,2,1,2,1,2,1,2.0,4.0,2,3.0,1.0,2,2
15,u17,pre,4,2,1,4,1.0,1,2,5,3,3,1,4.0,4.0,5,4.0,2.0,1,1
16,u18,pre,3,5,5,1,1.0,2,3,2,1,4,2,1.0,3.0,2,1.0,2.0,3,3
17,u19,pre,4,2,2,3,3.0,3,1,4,2,1,4,3.0,4.0,4,4.0,3.0,3,3
18,u20,pre,4,2,1,3,1.0,1,1,4,3,1,3,3.0,3.0,3,3.0,2.0,3,1
19,u22,pre,4,3,3,3,1.0,1,1,2,1,3,2,3.0,1.0,4,3.0,1.0,4,1
20,u23,pre,2,4,3,3,1.0,1,2,3,3,3,4,3.0,5.0,4,4.0,4.0,3,3
21,u24,pre,4,3,1,4,1.0,1,2,2,3,2,4,2.0,3.0,2,2.0,1.0,3,1
22,u27,pre,3,3,2,3,1.0,2,1,3,2,3,2,2.0,3.0,2,3.0,1.0,3,2
23,u30,pre,4,5,5,4,5.0,1,5,3,4,5,4,4.0,1.0,4,4.0,1.0,3,5
24,u31,pre,4,2,1,5,1.0,2,1,4,1,1,3,2.0,2.0,4,3.0,3.0,5,4
25,u32,pre,4,3,1,3,1.0,1,1,4,4,2,3,2.0,3.0,3,3.0,1.0,3,1
26,u33,pre,3,5,4,1,4.0,4,3,2,2,3,3,3.0,3.0,2,2.0,4.0,1,4
27,u34,pre,4,1,1,4,1.0,1,1,3,2,1,2,4.0,2.0,3,3.0,1.0,3,1
28,u35,pre,4,1,1,3,3.0,1,1,3,3,1,2,3.0,2.0,3,2.0,1.0,4,1
29,u36,pre,5,1,1,3,1.0,1,1,4,4,1,1,4.0,3.0,3,4.0,1.0,4,1
30,u39,pre,1,1,1,1,1.0,1,1,2,1,1,2,4.0,2.0,4,2.0,1.0,3,1
31,u42,pre,2,4,4,3,4.0,4,2,3,4,3,3,3.0,3.0,2,2.0,1.0,2,4
32,u43,pre,4,2,1,2,3.0,2,1,4,4,2,3,3.0,3.0,5,4.0,2.0,2,2
33,u44,pre,4,1,2,3,1.0,1,1,4,3,2,2,4.0,1.0,4,4.0,1.0,4,1
34,u45,pre,3,3,4,3,1.0,1,1,3,2,5,1,2.0,2.0,5,4.0,5.0,4,1
35,u46,pre,4,4,2,5,1.0,1,3,4,4,5,3,1.0,1.0,4,4.0,1.0,5,1
36,u47,pre,4,1,4,4,1.0,5,3,5,4,4,1,4.0,5.0,3,4.0,3.0,5,5
37,u49,pre,5,4,3,3,2.0,2,1,4,3,2,4,4.0,2.0,4,4.0,1.0,4,1
38,u50,pre,1,1,2,3,2.0,1,1,3,3,1,3,3.0,2.0,3,3.0,2.0,3,1
39,u51,pre,3,2,2,2,1.0,1,1,3,3,1,2,2.0,3.0,3,3.0,2.0,3,1
40,u52,pre,5,5,4,3,1.0,4,2,5,5,4,5,5.0,5.0,5,4.0,5.0,3,5
41,u53,pre,4,2,3,1,1.0,2,2,3,3,2,3,4.0,1.0,4,3.0,3.0,3,1
42,u56,pre,4,1,1,2,1.0,1,1,2,2,1,2,4.0,1.0,2,2.0,1.0,2,1
43,u57,pre,5,2,1,4,1.0,1,2,4,3,2,4,3.0,1.0,3,4.0,1.0,5,1
44,u58,pre,1,1,1,2,4.0,1,1,3,3,2,1,4.0,3.0,5,5.0,1.0,4,1
45,u59,pre,4,2,1,4,3.0,1,1,4,4,2,3,3.0,5.0,5,4.0,4.0,3,2
46,u00,post,4,3,3,3,4.0,1,2,3,4,4,4,3.0,3.0,3,3.0,3.0,4,1
47,u01,post,3,2,2,3,2.0,1,1,3,3,3,3,2.0,2.0,3,4.0,3.0,3,1
48,u02,post,4,2,2,4,1.0,1,1,3,3,1,4,4.0,2.0,4,1.0,1.0,1,2
49,u03,post,4,3,2,3,1.0,3,2,3,3,2,1,4.0,3.0,2,2.0,1.0,3,3
50,u04,post,3,2,2,4,1.0,1,2,4,4,3,4,3.0,4.0,4,3.0,2.0,5,2
51,u05,post,4,2,2,3,3.0,3,1,4,3,1,4,3.0,3.0,4,4.0,1.0,4,1
52,u07,post,2,4,3,3,1.0,1,2,1,3,2,2,1.0,2.0,1,1.0,1.0,2,1
53,u09,post,3,1,2,2,1.0,1,1,4,4,1,4,3.0,2.0,3,4.0,1.0,5,2
54,u10,post,5,5,1,4,4.0,1,4,5,5,5,4,5.0,4.0,5,5.0,3.0,5,1
55,u14,post,4,1,1,3,1.0,1,1,4,4,2,5,5.0,3.0,5,5.0,1.0,1,1
56,u15,post,4,4,4,4,2.0,2,2,4,3,3,4,3.0,3.0,4,3.0,2.0,4,3
57,u16,post,2,5,4,2,4.0,5,1,1,2,4,2,1.0,4.0,3,3.0,1.0,1,5
58,u17,post,2,5,5,4,1.0,4,4,5,5,5,1,2.0,5.0,5,1.0,3.0,2,5
59,u18,post,2,5,3,3,1.0,5,5,1,1,4,3,1.0,5.0,3,2.0,3.0,1,4
60,u19,post,4,2,1,4,2.0,2,1,5,4,1,3,5.0,2.0,3,3.0,2.0,3,2
61,u20,post,2,4,4,4,3.0,3,1,2,2,1,3,3.0,4.0,3,3.0,3.0,3,3
62,u23,post,2,2,3,2,1.0,2,4,4,4,4,3,4.0,4.0,3,4.0,3.0,2,1
63,u24,post,2,4,2,2,1.0,1,1,2,3,2,3,1.0,2.0,4,2.0,3.0,3,2
64,u27,post,2,3,1,2,1.0,3,1,2,2,4,3,2.0,4.0,2,3.0,3.0,1,3
65,u30,post,4,1,1,4,5.0,5,1,3,4,1,4,3.0,1.0,4,4.0,1.0,4,5
66,u31,post,2,3,4,2,5.0,5,5,3,2,4,2,3.0,4.0,3,2.0,2.0,1,5
67,u32,post,5,3,2,4,1.0,1,1,4,5,3,4,5.0,1.0,5,5.0,2.0,4,1
68,u33,post,4,5,5,2,2.0,2,2,4,4,2,3,3.0,4.0,3,2.0,3.0,1,3
69,u34,post,3,3,2,2,1.0,1,1,3,2,1,2,4.0,3.0,3,2.0,1.0,3,1
70,u35,post,2,4,3,2,1.0,1,1,3,3,1,1,3.0,2.0,2,2.0,1.0,2,1
71,u36,post,4,2,2,4,1.0,2,1,3,3,3,3,3.0,3.0,4,4.0,3.0,4,2
72,u42,post,5,3,3,5,1.0,1,3,4,4,3,4,4.0,2.0,4,3.0,3.0,3,2
73,u43,post,4,3,2,3,2.0,3,1,4,4,2,3,3.0,3.0,5,4.0,2.0,2,3
74,u44,post,4,3,3,1,1.0,2,1,4,2,3,3,3.0,3.0,3,4.0,3.0,4,3
75,u45,post,2,4,1,3,3.0,1,1,3,3,3,3,4.0,2.0,2,3.0,2.0,4,1
76,u46,post,2,5,5,3,1.0,2,5,5,3,5,3,5.0,4.0,4,4.0,5.0,2,2
77,u47,post,3,1,1,5,1.0,1,2,4,4,1,1,5.0,2.0,4,5.0,1.0,4,1
78,u49,post,5,3,2,3,1.0,1,1,5,5,2,3,5.0,2.0,5,3.0,2.0,3,2
79,u51,post,3,2,1,3,1.0,1,1,3,3,2,2,3.0,2.0,3,3.0,1.0,3,1
80,u52,post,2,5,5,2,1.0,5,3,5,4,5,3,2.0,5.0,3,4.0,5.0,1,5
81,u53,post,5,3,2,3,1.0,1,2,4,4,2,3,4.0,4.0,5,4.0,1.0,1,1
82,u54,post,2,5,5,2,3.0,2,1,3,2,3,4,2.0,4.0,3,1.0,2.0,2,1
83,u56,post,4,2,2,3,2.0,1,1,3,3,2,3,4.0,2.0,3,3.0,2.0,3,1
84,u59,post,4,1,2,4,2.0,5,2,5,5,3,4,3.0,5.0,5,4.0,4.0,3,5
